date,season,game_id,player_id,name,team_abbrev,position,home_or_away,opp_team_abbrev,goals_reg_season,games_played_reg,gpg_bayesian,assists_reg_season,points_reg_season,assists_per_game,points_per_game,shots_per_game,shooting_pct,power_play_goals,power_play_points,power_play_goals_per_game,power_play_points_per_game,avg_toi_minutes,goals_last5,last5_shots_per_game,last5_points,last5_toi_minutes,opp_ga_per_game,opp_save_pct,in_playoffs,scored
2026-05-14,,2025030215,8481540,C. Caufield,MTL,R,AWAY,BUF,51,81,0.5347,,,,,3.185,,,,,,,3,,,,2.818,,1,1
2026-05-14,,2025030215,8480018,N. Suzuki,MTL,C,AWAY,BUF,29,82,0.3137,,,,,2.232,,,,,,,3,,,,2.818,,1,1
2026-05-14,,2025030215,8481618,A. Newhook,MTL,C,AWAY,BUF,13,42,0.2581,,,,,1.452,,,,,,,5,,,,2.818,,1,0
2026-05-14,,2025030215,8476981,J. Anderson,MTL,R,AWAY,BUF,14,72,0.1848,,,,,1.236,,,,,,,1,,,,2.818,,1,1
2026-05-14,,2025030215,8483515,J. Slafkovský,MTL,L,AWAY,BUF,30,82,0.3235,,,,,2.195,,,,,,,1,,,,2.818,,1,0
2026-05-14,,2025030215,8476479,P. Danault,MTL,C,AWAY,BUF,6,75,0.0947,,,,,1.213,,,,,,,0,,,,2.818,,1,0
2026-05-14,,2025030215,8478133,J. Evans,MTL,C,AWAY,BUF,12,68,0.1705,,,,,1.103,,,,,,,1,,,,2.818,,1,1
2026-05-14,,2025030215,8482737,Z. Bolduc,MTL,R,AWAY,BUF,12,78,0.1531,,,,,1.295,,,,,,,1,,,,2.818,,1,0
2026-05-14,,2025030215,8481523,K. Dach,MTL,C,AWAY,BUF,8,37,0.193,,,,,1.27,,,,,,,2,,,,2.818,,1,0
2026-05-14,,2025030215,8480074,A. Texier,MTL,L,AWAY,BUF,8,51,0.1549,,,,,1.451,,,,,,,1,,,,2.818,,1,1
2026-05-14,,2025030215,8480813,J. Veleno,MTL,C,AWAY,BUF,2,61,0.0617,,,,,0.852,,,,,,,0,,,,2.818,,1,0
2026-05-14,,2025030215,8484984,I. Demidov,MTL,R,AWAY,BUF,19,82,0.2157,,,,,1.549,,,,,,,1,,,,2.818,,1,1
2026-05-14,,2025030215,8476875,M. Matheson,MTL,D,AWAY,BUF,7,78,0.102,,,,,1.462,,,,,,,1,,,,2.818,,1,0
2026-05-14,,2025030215,8482087,K. Guhle,MTL,D,AWAY,BUF,2,39,0.0847,,,,,1.026,,,,,,,0,,,,2.818,,1,0
2026-05-14,,2025030215,8478851,A. Carrier,MTL,D,AWAY,BUF,7,73,0.1075,,,,,0.767,,,,,,,1,,,,2.818,,1,0
2026-05-14,,2025030215,8483457,L. Hutson,MTL,D,AWAY,BUF,12,82,0.1471,,,,,1.512,,,,,,,0,,,,2.818,,1,0
2026-05-14,,2025030215,8480865,N. Dobson,MTL,D,AWAY,BUF,12,80,0.15,,,,,1.975,,,,,,,0,,,,2.818,,1,0
2026-05-14,,2025030215,8482964,A. Xhekaj,MTL,D,AWAY,BUF,1,65,0.0471,,,,,0.615,,,,,,,0,,,,2.818,,1,0
2026-05-14,,2025030215,8484145,Z. Benson,BUF,L,HOME,MTL,13,65,0.1882,,,,,1.785,,,,,,,2,,,,2.333,,1,0
2026-05-14,,2025030215,8480064,J. Norris,BUF,C,HOME,MTL,13,44,0.25,,,,,1.568,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8478413,J. Greenway,BUF,L,HOME,MTL,1,40,0.0667,,,,,0.8,,,,,,,1,,,,2.333,,1,0
2026-05-14,,2025030215,8475722,J. Zucker,BUF,L,HOME,MTL,24,62,0.3293,,,,,2.065,,,,,,,1,,,,2.333,,1,1
2026-05-14,,2025030215,8481522,P. Krebs,BUF,C,HOME,MTL,12,82,0.1471,,,,,1.134,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8482097,J. Quinn,BUF,R,HOME,MTL,20,82,0.2255,,,,,2.329,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8479359,B. Malenstyn,BUF,L,HOME,MTL,7,81,0.099,,,,,0.889,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8480802,R. McLeod,BUF,C,HOME,MTL,14,81,0.1683,,,,,1.111,,,,,,,1,,,,2.333,,1,0
2026-05-14,,2025030215,8479420,T. Thompson,BUF,C,HOME,MTL,40,81,0.4257,,,,,3.358,,,,,,,2,,,,2.333,,1,0
2026-05-14,,2025030215,8477949,A. Tuch,BUF,R,HOME,MTL,33,79,0.3636,,,,,2.468,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8482659,J. Doan,BUF,R,HOME,MTL,25,82,0.2745,,,,,2.073,,,,,,,2,,,,2.333,,1,1
2026-05-14,,2025030215,8484797,K. Helenius,BUF,C,HOME,MTL,1,9,0.1379,,,,,1.667,,,,,,,1,,,,2.333,,1,1
2026-05-14,,2025030215,8481524,B. Byram,BUF,D,HOME,MTL,11,82,0.1373,,,,,1.329,,,,,,,1,,,,2.333,,1,0
2026-05-14,,2025030215,8474568,L. Schenn,BUF,D,HOME,MTL,1,50,0.0571,,,,,0.7,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8479982,C. Timmins,BUF,D,HOME,MTL,0,39,0.0508,,,,,1.128,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8480807,M. Samuelsson,BUF,D,HOME,MTL,13,78,0.1633,,,,,1.397,,,,,,,1,,,,2.333,,1,0
2026-05-14,,2025030215,8482671,O. Power,BUF,D,HOME,MTL,8,81,0.1089,,,,,1.481,,,,,,,0,,,,2.333,,1,0
2026-05-14,,2025030215,8480839,R. Dahlin,BUF,D,HOME,MTL,19,77,0.2268,,,,,2.519,,,,,,,1,,,,2.333,,1,0
2026-05-16,,2025030216,8484145,Z. Benson,BUF,L,AWAY,MTL,13,65,0.1882,,,,,1.785,,,,,,,3,,,,2.692,,1,1
2026-05-16,,2025030216,8480064,J. Norris,BUF,C,AWAY,MTL,13,44,0.25,,,,,1.568,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8478413,J. Greenway,BUF,L,AWAY,MTL,1,40,0.0667,,,,,0.8,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8475722,J. Zucker,BUF,L,AWAY,MTL,24,62,0.3293,,,,,2.065,,,,,,,2,,,,2.692,,1,1
2026-05-16,,2025030216,8481522,P. Krebs,BUF,C,AWAY,MTL,12,82,0.1471,,,,,1.134,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8482097,J. Quinn,BUF,R,AWAY,MTL,20,82,0.2255,,,,,2.329,,,,,,,2,,,,2.692,,1,1
2026-05-16,,2025030216,8479359,B. Malenstyn,BUF,L,AWAY,MTL,7,81,0.099,,,,,0.889,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8480802,R. McLeod,BUF,C,AWAY,MTL,14,81,0.1683,,,,,1.111,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8479420,T. Thompson,BUF,C,AWAY,MTL,40,81,0.4257,,,,,3.358,,,,,,,3,,,,2.692,,1,1
2026-05-16,,2025030216,8477949,A. Tuch,BUF,R,AWAY,MTL,33,79,0.3636,,,,,2.468,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8482659,J. Doan,BUF,R,AWAY,MTL,25,82,0.2745,,,,,2.073,,,,,,,1,,,,2.692,,1,0
2026-05-16,,2025030216,8484797,K. Helenius,BUF,C,AWAY,MTL,1,9,0.1379,,,,,1.667,,,,,,,2,,,,2.692,,1,1
2026-05-16,,2025030216,8481524,B. Byram,BUF,D,AWAY,MTL,11,82,0.1373,,,,,1.329,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8479982,C. Timmins,BUF,D,AWAY,MTL,0,39,0.0508,,,,,1.128,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8480807,M. Samuelsson,BUF,D,AWAY,MTL,13,78,0.1633,,,,,1.397,,,,,,,1,,,,2.692,,1,0
2026-05-16,,2025030216,8482671,O. Power,BUF,D,AWAY,MTL,8,81,0.1089,,,,,1.481,,,,,,,0,,,,2.692,,1,0
2026-05-16,,2025030216,8480839,R. Dahlin,BUF,D,AWAY,MTL,19,77,0.2268,,,,,2.519,,,,,,,2,,,,2.692,,1,1
2026-05-16,,2025030216,8484305,Z. Metsa,BUF,D,AWAY,MTL,2,43,0.0794,,,,,0.558,,,,,,,1,,,,2.692,,1,1
2026-05-16,,2025030216,8481540,C. Caufield,MTL,R,HOME,BUF,51,81,0.5347,,,,,3.185,,,,,,,3,,,,2.833,,1,0
2026-05-16,,2025030216,8480018,N. Suzuki,MTL,C,HOME,BUF,29,82,0.3137,,,,,2.232,,,,,,,2,,,,2.833,,1,0
2026-05-16,,2025030216,8481618,A. Newhook,MTL,C,HOME,BUF,13,42,0.2581,,,,,1.452,,,,,,,5,,,,2.833,,1,0
2026-05-16,,2025030216,8476981,J. Anderson,MTL,R,HOME,BUF,14,72,0.1848,,,,,1.236,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8483515,J. Slafkovský,MTL,L,HOME,BUF,30,82,0.3235,,,,,2.195,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8476479,P. Danault,MTL,C,HOME,BUF,6,75,0.0947,,,,,1.213,,,,,,,0,,,,2.833,,1,0
2026-05-16,,2025030216,8478133,J. Evans,MTL,C,HOME,BUF,12,68,0.1705,,,,,1.103,,,,,,,2,,,,2.833,,1,1
2026-05-16,,2025030216,8482737,Z. Bolduc,MTL,R,HOME,BUF,12,78,0.1531,,,,,1.295,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8481523,K. Dach,MTL,C,HOME,BUF,8,37,0.193,,,,,1.27,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8480074,A. Texier,MTL,L,HOME,BUF,8,51,0.1549,,,,,1.451,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8480813,J. Veleno,MTL,C,HOME,BUF,2,61,0.0617,,,,,0.852,,,,,,,0,,,,2.833,,1,0
2026-05-16,,2025030216,8484984,I. Demidov,MTL,R,HOME,BUF,19,82,0.2157,,,,,1.549,,,,,,,2,,,,2.833,,1,1
2026-05-16,,2025030216,8476875,M. Matheson,MTL,D,HOME,BUF,7,78,0.102,,,,,1.462,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8482087,K. Guhle,MTL,D,HOME,BUF,2,39,0.0847,,,,,1.026,,,,,,,0,,,,2.833,,1,0
2026-05-16,,2025030216,8478851,A. Carrier,MTL,D,HOME,BUF,7,73,0.1075,,,,,0.767,,,,,,,1,,,,2.833,,1,0
2026-05-16,,2025030216,8483457,L. Hutson,MTL,D,HOME,BUF,12,82,0.1471,,,,,1.512,,,,,,,0,,,,2.833,,1,0
2026-05-16,,2025030216,8480865,N. Dobson,MTL,D,HOME,BUF,12,80,0.15,,,,,1.975,,,,,,,0,,,,2.833,,1,0
2026-05-16,,2025030216,8482964,A. Xhekaj,MTL,D,HOME,BUF,1,65,0.0471,,,,,0.615,,,,,,,1,,,,2.833,,1,1
2026-05-18,,2025030217,8481540,C. Caufield,MTL,R,AWAY,BUF,51,81,0.5347,,,,,3.185,,,,,,,3,,,,2.846,,1,0
2026-05-18,,2025030217,8480018,N. Suzuki,MTL,C,AWAY,BUF,29,82,0.3137,,,,,2.232,,,,,,,1,,,,2.846,,1,0
2026-05-18,,2025030217,8481618,A. Newhook,MTL,C,AWAY,BUF,13,42,0.2581,,,,,1.452,,,,,,,4,,,,2.846,,1,1
2026-05-18,,2025030217,8476981,J. Anderson,MTL,R,AWAY,BUF,14,72,0.1848,,,,,1.236,,,,,,,1,,,,2.846,,1,0
2026-05-18,,2025030217,8483515,J. Slafkovský,MTL,L,AWAY,BUF,30,82,0.3235,,,,,2.195,,,,,,,1,,,,2.846,,1,0
2026-05-18,,2025030217,8476479,P. Danault,MTL,C,AWAY,BUF,6,75,0.0947,,,,,1.213,,,,,,,1,,,,2.846,,1,1
2026-05-18,,2025030217,8478133,J. Evans,MTL,C,AWAY,BUF,12,68,0.1705,,,,,1.103,,,,,,,2,,,,2.846,,1,0
2026-05-18,,2025030217,8482737,Z. Bolduc,MTL,R,AWAY,BUF,12,78,0.1531,,,,,1.295,,,,,,,2,,,,2.846,,1,1
2026-05-18,,2025030217,8481523,K. Dach,MTL,C,AWAY,BUF,8,37,0.193,,,,,1.27,,,,,,,1,,,,2.846,,1,0
2026-05-18,,2025030217,8480074,A. Texier,MTL,L,AWAY,BUF,8,51,0.1549,,,,,1.451,,,,,,,1,,,,2.846,,1,0
2026-05-18,,2025030217,8482775,O. Kapanen,MTL,C,AWAY,BUF,22,82,0.2451,,,,,1.598,,,,,,,0,,,,2.846,,1,0
2026-05-18,,2025030217,8484984,I. Demidov,MTL,R,AWAY,BUF,19,82,0.2157,,,,,1.549,,,,,,,2,,,,2.846,,1,0
2026-05-18,,2025030217,8476875,M. Matheson,MTL,D,AWAY,BUF,7,78,0.102,,,,,1.462,,,,,,,0,,,,2.846,,1,0
2026-05-18,,2025030217,8482087,K. Guhle,MTL,D,AWAY,BUF,2,39,0.0847,,,,,1.026,,,,,,,0,,,,2.846,,1,0
2026-05-18,,2025030217,8478851,A. Carrier,MTL,D,AWAY,BUF,7,73,0.1075,,,,,0.767,,,,,,,0,,,,2.846,,1,0
2026-05-18,,2025030217,8483457,L. Hutson,MTL,D,AWAY,BUF,12,82,0.1471,,,,,1.512,,,,,,,0,,,,2.846,,1,0
2026-05-18,,2025030217,8480865,N. Dobson,MTL,D,AWAY,BUF,12,80,0.15,,,,,1.975,,,,,,,0,,,,2.846,,1,0
2026-05-18,,2025030217,8482964,A. Xhekaj,MTL,D,AWAY,BUF,1,65,0.0471,,,,,0.615,,,,,,,1,,,,2.846,,1,0
2026-05-18,,2025030217,8484145,Z. Benson,BUF,L,HOME,MTL,13,65,0.1882,,,,,1.785,,,,,,,2,,,,2.643,,1,0
2026-05-18,,2025030217,8480064,J. Norris,BUF,C,HOME,MTL,13,44,0.25,,,,,1.568,,,,,,,0,,,,2.643,,1,0
2026-05-18,,2025030217,8478413,J. Greenway,BUF,L,HOME,MTL,1,40,0.0667,,,,,0.8,,,,,,,1,,,,2.643,,1,1
